date,genius,queenbee,totalwords
03/30/2022,186,265,49
03/29/2022,88,126,32
03/28/2022,69,98,30
03/27/2022,110,157,45
03/26/2022,217,310,60
03/25/2022,151,216,47
03/24/2022,104,149,38
03/23/2022,85,121,26
03/22/2022,164,234,39
03/21/2022,82,117,31
03/20/2022,53,75,23
03/19/2022,196,280,62
03/18/2022,125,178,42
03/17/2022,95,135,36
03/16/2022,127,181,42
03/15/2022,61,87,25
03/14/2022,198,283,50
03/13/2022,90,128,33
03/12/2022,119,170,36
03/11/2022,64,91,24
03/10/2022,169,242,54
03/09/2022,155,221,53
03/08/2022,111,159,34
03/07/2022,130,185,46
03/06/2022,155,222,44
03/05/2022,150,214,47
03/04/2022,64,92,27
03/03/2022,137,195,47
03/02/2022,93,133,41
03/01/2022,94,134,23
02/28/2022,143,204,51
02/27/2022,162,232,44
02/26/2022,104,149,38
02/25/2022,69,99,22
02/24/2022,149,213,56
02/23/2022,128,183,39
02/22/2022,88,125,31
02/21/2022,97,139,33
02/20/2022,195,279,59
02/19/2022,88,126,31
02/18/2022,144,206,60
02/17/2022,113,161,32
02/16/2022,68,97,24
02/15/2022,66,94,22
02/14/2022,237,338,63
02/13/2022,125,179,41
02/12/2022,119,170,28
02/11/2022,132,189,50
02/10/2022,111,158,34
02/09/2022,48,69,22
02/08/2022,148,212,39
02/07/2022,111,159,41
02/06/2022,106,152,37
02/05/2022,157,224,51
02/04/2022,155,222,47
02/03/2022,88,126,30
02/02/2022,83,118,35
02/01/2022,46,65,19
01/31/2022,172,246,65
01/30/2022,79,113,33
01/29/2022,211,301,50
01/28/2022,85,121,30
01/27/2022,147,210,39
01/26/2022,183,262,62
01/25/2022,74,106,27
01/24/2022,117,167,31
01/23/2022,113,162,39
01/22/2022,215,307,73
01/21/2022,109,155,45
01/20/2022,90,128,36
01/19/2022,115,165,47
01/18/2022,148,211,51
01/17/2022,106,151,43
01/16/2022,89,127,21
01/15/2022,161,230,51
01/14/2022,126,180,43
01/13/2022,111,159,47
01/12/2022,123,176,43
01/11/2022,136,194,35
01/10/2022,93,133,34
01/09/2022,92,131,31
01/08/2022,85,121,29
01/07/2022,145,207,40
01/06/2022,66,94,27
01/05/2022,227,325,55
01/04/2022,105,150,39
01/03/2022,63,90,31
01/02/2022,78,111,28
01/01/2022,179,255,50
